ts	phase	decision	why	evidence	result
2026-08-26T13:00:00+12:00	reproduction	separated stale-signature SIGKILL from reported exit-1	status 137 and status 1 name different mechanisms	DOGFOOD-CRABS.md:80; /tmp/crabs-sigkill-repro/transcript.md	closed signature class excluded
2026-08-26T13:02:00+12:00	reproduction	launched existing target/release binary under a managed PTY	verify the reported executable before changing code	DOGFOOD-CRABS.md:88-92	window appeared and process stayed live 86 seconds
2026-08-26T13:10:00+12:00	evidence	marked w23:p3 transcript unavailable	avoid inventing the reported command and exit state	/tmp/mr-crabs-w23-p3-evidence.md	BLOCKED historical evidence unavailable
2026-08-26T13:17:00+12:00	artifact	built an isolated current-source release artifact	obtain a known current-source artifact	/tmp/mr-crabs-fix-freshrelease/release/mr-crabs	SHA-256 026f86727dd8f268fc0d1855468775d7a32e6800f08f702bdef547bb3ac307c1
2026-08-26T13:19:00+12:00	evidence	withdrew unsourced CUA pid 31439 and window 20030	no supporting artifact names that pair	/tmp/mr-crabs-decision-trail-attention.md	WITHDRAWN not used as launch proof
2026-08-26T13:22:00+12:00	compliance	excluded false configuration-edit claims from diagnosis	claims lacked mutation evidence and one was disproven by a later read	/tmp/mr-crabs-fix-config-audit.md	configuration frozen with no root mutation
2026-08-26T13:31:00+12:00	supervisor	matched hub PID to CUA window PID before managed stop	distinguish a real GUI exit from supervisor encoding	hub mr-crabs-stop-status-map; CUA pid 91546 window 20054	identical PID
2026-08-26T13:31:20+12:00	supervisor	stopped the live matched process through hub	measure the reported status after a known-good launch	hub stop mr-crabs-stop-status-map	hub returned exited exit=1 and the matched window disappeared
2026-08-26T13:32:00+12:00	control	launched with shell /usr/bin/true	measure a short-lived control, not default GUI quit	DOGFOOD-CRABS.md	control returned 0
2026-08-26T13:34:00+12:00	evidence	superseded stale-default-binary inference	the old binary embeds WIP strings and its mtime follows listed source mtimes	stat and strings observations in this session	initial artifact freshness remains unproven from SHA difference alone
2026-08-26T13:59:33+12:00	runtime	independently reran the current target release after the cross-lane relay	reproduce before deciding whether a source patch belongs here	target/release/mr-crabs SHA-256 026f86727dd8f268fc0d1855468775d7a32e6800f08f702bdef547bb3ac307c1; hub mr-crabs-relay-repro pid 85694; CUA window 20126	window remained live for 2m43 and no immediate exit 1 reproduced
2026-08-26T13:59:33+12:00	scope	closed the Mr Crabs source-fix path	current reproduction launched and the original w23:p3 record remains unavailable	DOGFOOD-CRABS.md; /tmp/mr-crabs-decision-trail-attention.md	no Mr Crabs source change
2026-08-26T13:59:33+12:00	placement	declined a repository launch-verifier script	S11 and S12 exclude GUI launch checks	/tmp/mr-crabs-launch-verifier-placement.md	status split remains outside this repository
2026-08-26T14:00:00+12:00	scope	kept the fresh-release exit-1 lane closed on resume	prior no-argument live-window evidence and status discriminator already exclude a source fix	DOGFOOD-CRABS.md:98-145; .audit/fresh-release-exit-1.tsv:12-14	no GUI launch or source change on resume
2026-08-31T00:00:00+12:00	artifact	accepted cleaned packaged bundle	need a signed current package identity	bundle id dev.jamie.mr-crabs; resource manifest 634 files 1810388 hash 9d3c2e...; icon hash 3e4c...; codesign --verify --strict valid; Mach-O arm64; no libghostty/libzig/libswift	PASS package identity
2026-08-31T00:00:01+12:00	runtime	accepted packaged live window	prove the packaged binary is a live GUI not an exit-1 launch	PID 17405 window 5290; /tmp/mr-crabs-packaged-rustfetch.png; mr-crabs +rustfetch	PASS live packaged
2026-08-31T00:00:02+12:00	runtime	accepted exact raw PTY paste on packaged window	canonical-mode cat was invalid because the 12288-byte payload had no newline	app and PTY wrote 12288 bytes hash 559ed...; raw noncanonical receiver	PASS exact paste; no app paste fix
2026-08-31T00:00:03+12:00	artifact	accepted fresh installed inode	avoid stale-codesign reuse of dist inode	installed inode 141905208 vs dist 141904640; same binary hash b400c43d...	PASS distinct inode
2026-08-31T00:00:04+12:00	runtime	accepted installed live window	prove the installed copy is live independently of dist	PID 18950 window 5363	PASS live installed

