id	title	surface	owner	status	artifact_generation	reported_evidence	reproduction	suspected_seam	verification	disposition
MRCRABS-001	Cursor trail configured but not painted	standalone_terminal	mr_crabs	accepted	integrated dirty WIP 2026-08-31	DOGFOOD-CRABS.md negative 400-frame capture	live one-cell, horizontal, vertical, expiry, usability probes	animation state to paint boundary	accepted live with continuous tapered trail	closed
MRCRABS-002	Animated Rustfetch fails	standalone_terminal	mr_crabs	accepted	integrated dirty WIP 2026-08-31	User report and RESUME.md history	PTY capture plus live startup recording and retained prompt probe	TTY capture and centered overlay lifecycle	centered animation fades to retained styled fetch; prompt usable	closed
MRCRABS-003A	Streaming text animation feels rough	standalone_terminal	mr_crabs	accepted	integrated dirty WIP 2026-08-31	User report and issue history	40-line paced live output recording	missing paint_text_reveal invocation	painter restored; release build and live output passed	closed
MRCRABS-003B	Typewriter text animation feels rough	standalone_terminal	mr_crabs	accepted	cleaned packaged+installed 2026-08-31	User report and issue history	per-character unit tests plus live paced output	row-shared timestamps, wide-spacer slot consumption, and stale continuation clock	character-unit scheduler passes 63 effects tests and release build; live terminal experience and packaged/installed release accepted	closed
MRCRABS-004	Missing icons	standalone_terminal	mr_crabs	classified	integrated dirty WIP 2026-08-31	User report	asset and protocol ownership audit	bundle asset, terminal glyph coverage, or custom glyph protocol	MrCrabs.icns exists and packaging copies it; custom glyph protocol remains unsupported	asset closed; glyph protocol unsupported
MRCRABS-005	Copy and paste smoothness	standalone_terminal	mr_crabs	accepted	cleaned packaged+installed 2026-08-31	canonical-mode cat probe invalid (payload had no newline); raw noncanonical receiver	12KB Cmd-V live probe on packaged PID 17405 window 5290	probe mode not PTY write	app and PTY wrote all 12288 bytes hash 559ed...; no application paste fix; speculative chunking/test reverted and instrumentation removed	closed
MRCRABS-006	Animation config precedence	standalone_terminal	mr_crabs	accepted	integrated dirty WIP 2026-08-31	Inherited pending classification	file values overridden by explicit CLI values for all six animation keys	settings and per-window overlay	defaults < file < CLI < runtime; live window mode/trail overlay classified	closed
ROUTE-GSPOT-001	Control-N erases last tab	gspot_workspace	g_spot	routed_gspot	a1d670b	User report and standalone keymap evidence	not applicable	G-Spot workspace shell	not applicable	Mr Crabs does not own tabs
ROUTE-HOST-001	OMP reports exit 1 for live or managed-stopped app	omp_supervisor	host_harness	routed_host	installed bundle SHA 4110c348	DOGFOOD-CRABS.md matched-PID evidence	not applicable	OMP supervision	not applicable	No Mr Crabs source fix
ROUTE-GSPOT-002	Workspace icons and transitions	gspot_workspace	g_spot	routed_gspot	unknown	User report	not applicable	G-Spot UI	not applicable	Outside standalone terminal
