ts	phase	decision	why	evidence	result
2026-08-30T00:00:00Z	pickup	continued from the canonical main worktree and preserved the 15-file animation WIP	the prior work already established the source location and recreating it would risk loss	agent://ResumeState	resume point fixed at a1d670b plus dirty WIP
2026-08-30T00:00:01Z	ownership	routed Control-N and workspace UI defects out of Mr Crabs	standalone Mr Crabs does not own tabs, workspaces, or Chat UI	agent://SymptomVerdicts	routed to G-Spot
2026-08-30T00:00:02Z	workflow	selected figure-it-out with one bug-fix loop per reproduced defect	the request spans several defects and one protected cross-cutting animation WIP	agent://BugProgramPlan	rigorous sequential source ownership
2026-08-30T00:00:03Z	MRCRABS-001	reverted the unproven paint geometry and z-order patch	the patch skipped the required runtime discriminator and changed two mechanisms without causal proof	agent://RevertCursorTrailPatch	restored prior paint path
2026-08-30T00:00:04Z	MRCRABS-001	reran the focused trail tests after all WIP writers stopped	the earlier missing ProtocolSink method was diagnosed as an inconsistent intermediate WIP state	artifact://76	5 passed, compile blocker cleared
2026-08-30T00:00:05Z	MRCRABS-001	captured an aligned live diagnostic trace from loose binary PID 25845 and window 1164	the trace separates state generation from primitive emission	/tmp/mr-crabs-mrcrabs001/trail.jsonl	cursor movement sequences 14-35 show active trail, decaying alpha, paint called, glow and segment commands true
2026-08-30T00:00:06Z	MRCRABS-001	selected primitive representation as the next single-variable fix	state, retention, scheduling, and command intent are proven live, leaving the paint primitive boundary	/tmp/mr-crabs-mrcrabs001/trail.jsonl:92-236	open two-point stroke replacement only
2026-08-30T00:00:07Z	MRCRABS-001	discarded the first packaged visual run as inconclusive	the pre-Enter waiting sentinel and post-output states were not both captured and inspected, so the run cannot prove acceptance	/tmp/mr-crabs-mrcrabs001/visual	INCONCLUSIVE, recording stopped and excluded from acceptance
2026-08-30T00:00:08Z	MRCRABS-001	ran a decisive packaged opaque long-duration cursor-trail probe	default 250ms capture was timing-invalid, so the staged bundle was relaunched with trail=true opacity=1 duration=2000ms text animation none	/private/tmp/mr-crabs-mrcrabs001/trail-live.png	FAIL: within-lifetime frame contains current cursor but no filled trail at vacated cell
2026-08-30T00:00:09Z	MRCRABS-001	ran same-site full-content high-contrast paint discriminator	replaced only the late trail call with opaque magenta content_bounds, captured within 1.85s under 2000ms lifetime, then restored source hash 626cf2ce1052925eece29b8a1a51520bd7ba803293220e0d5211d6e5cd5c6a34	/private/tmp/mr-crabs-mrcrabs001/discriminator-before.png;/private/tmp/mr-crabs-mrcrabs001/discriminator-after.png	ABSENT: zero RGB 255,0,255 pixels; trail geometry exonerated, scene placement/clip/occlusion boundary remains
2026-08-30T00:00:10Z	MRCRABS-001	wrapped real trail painting in content_bounds paint layer without changing order	focused trail tests 4 passed and release candidate built; real opacity-1 trail captured within 1.86s under 2000ms lifetime	/private/tmp/mr-crabs-mrcrabs001/placement-before.png;/private/tmp/mr-crabs-mrcrabs001/placement-after.png	FAIL: current cursor moved from x47-48 to x58-59, vacated x47-57 contains zero cursor-color pixels
2026-08-30T00:00:11Z	MRCRABS-001	ran opaque magenta discriminator inside the new content paint layer	kept active/alpha guard and wrapper unchanged, replaced only inner trail call, captured within 1.87s, then restored real call	/private/tmp/mr-crabs-mrcrabs001/inlayer-before.png;/private/tmp/mr-crabs-mrcrabs001/inlayer-after.png	ABSENT: zero opaque RGB 255,0,255 pixels; late wrapped layer submission is not visible
2026-08-30T00:00:12Z	MRCRABS-001	painted cursor then real trail in one shared content_bounds layer	cargo check passed, 4 trail tests passed, release candidate captured within 1.84s under 2000ms lifetime	/private/tmp/mr-crabs-mrcrabs001/shared-before.png;/private/tmp/mr-crabs-mrcrabs001/shared-after.png	FAIL: only 13x21 cursor/glyph region changed; vacated 2x21 cursor region returned to background with no trail
2026-08-30T00:00:13Z	MRCRABS-001	ran post-cursor opaque full-content probe in exact shared layer	first probe expression failed compilation because rgba was not imported, corrected to existing palette conversion, then captured within 1.86s under 2000ms lifetime	/private/tmp/mr-crabs-mrcrabs001/postcursor-before.png;/private/tmp/mr-crabs-mrcrabs001/postcursor-after.png	VISIBLE: 1,467,818 magenta pixels bbox x10-1516 y42-1040, overwrote cursor; post-cursor shared-layer commands are visible and fault is inside paint_trail inputs/primitives
2026-08-30T00:00:14Z	MRCRABS-001	ran fixed origin-relative glow bounds through original material and drop-shadow path	replaced only computed glow bounds with origin+(4,4) 20x20, kept alpha, drop shadow, scale transform, real segment and shared layer	/private/tmp/mr-crabs-mrcrabs001/fixedglow-before.png;/private/tmp/mr-crabs-mrcrabs001/fixedglow-after.png	PASS discriminator: visible 18x16 core with 57x57 shadow footprint near top-left; glow material/path works and runtime bounds/transform path is implicated
2026-08-31T00:00:00Z	MRCRABS-001	accepted cursor trail recovery	live one-cell, horizontal, vertical, expiry, and usability probes showed a continuous tapered pane-surface trail	/private/tmp/mr-crabs-accepted-one-after.png;/private/tmp/mr-crabs-accepted-right-after.png;/private/tmp/mr-crabs-accepted-vertical-after.png	PASS and closed
2026-08-31T00:00:01Z	MRCRABS-002	accepted centered animated Rustfetch with retained text	PTY-backed capture restored full layout; live startup left styled fetch visible with a usable prompt	/private/tmp/mr-crabs-rustfetch-live-retained.png;/private/tmp/mr-crabs-rustfetch-live-command.png;artifact://1039	PASS and closed
2026-08-31T00:00:02Z	MRCRABS-003A	restored streaming reveal painting	paint_text_reveal existed but paint_frame never invoked it; added the clipped overlay between selection and cursor/trail	/private/tmp/mr-crabs-streaming-fixed;artifact://1079	PASS live and closed
2026-08-31T00:00:03Z	MRCRABS-003B	prevented stale typewriter timestamps	paced rebuilds continued with timestamps behind wall time, causing rows to enter partway through their sweep; clamped continuation to now	artifact://1105;/private/tmp/mr-crabs-typewriter-smooth	7 scheduler tests and live paced output passed
2026-08-31T00:00:04Z	MRCRABS-004	classified standalone icon ownership	bundle icon asset exists and package script copies resources; custom Glyph Protocol commands remain dropped at pane integration	resources/MrCrabs.icns;package/macos/package.sh	bundle asset closed; glyph protocol unsupported
2026-08-31T00:00:05Z	MRCRABS-005	routed Cmd-V through bounded PTY backpressure	paste previously used nonblocking queue write despite a dedicated write_with_timeout API	artifact://1120;/private/tmp/mr-crabs-paste-fixed.png	fixed but clean 12KB command execution remains unaccepted
2026-08-31T00:00:06Z	MRCRABS-006	verified animation configuration precedence	all six explicit CLI animation values replaced conflicting JSON file values	+show-config output in session	PASS and closed
2026-08-31T00:00:07Z	MRCRABS-003B	restored per-character typewriter staggering	replaced row-shared timestamps with allocation-free character units; ASCII consumes one slot, WIDE and WIDE_SPACER share one timestamp and slot, identical replay follows the same rule	artifact://1175;artifact://1177;packaged PID 17405 window 5290;installed PID 18950 window 5363	63 effects tests and release build passed; live terminal experience and packaged/installed release accepted
2026-08-31T00:00:08Z	MRCRABS-005	invalidated the canonical-mode cat paste probe	payload had no newline so cat in canonical mode could not prove delivery	packaged PID 17405 window 5290	INVALID probe; not an application paste failure
2026-08-31T00:00:09Z	MRCRABS-005	accepted exact raw PTY paste	raw noncanonical receiver proved app and PTY wrote all 12288 bytes	12288 bytes hash 559ed...	PASS; no application paste fix; speculative chunking/test reverted and instrumentation removed
2026-08-31T00:00:10Z	release	accepted cleaned packaged identity	cleaned package succeeded with strict signature and Mach-O arm64	bundle id dev.jamie.mr-crabs; resource manifest 634 files 1810388 hash 9d3c2e...; icon hash 3e4c...; no libghostty/libzig/libswift	PASS packaged
2026-08-31T00:00:11Z	release	accepted packaged live window and +rustfetch	packaged process stayed live and short +rustfetch already accepted	PID 17405 window 5290; /tmp/mr-crabs-packaged-rustfetch.png	PASS live packaged
2026-08-31T00:00:12Z	release	accepted fresh installed inode with matching binary hash	install copied a new inode rather than reusing dist	installed inode 141905208 vs dist 141904640; binary hash b400c43d...; PID 18950 window 5363 live	PASS installed live
